0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15,MANIPUR,44,49,11.4,,,,,,,,,,
16,MEGHALAYA,224,226,0.9,,,,,,,,,,
17,MIZORAM,108,99,-8.3,,,,,,,,,,
18,NAGALAND,48,43,-10.4,,,,,,,,,,
19,ODISHA,5546,5651,1.9,,,,,,,,,,
20,PUNJAB,2616,2600,-0.6,,,,,,,,,,
21,RAJASTHAN,5658,5593,-1.1,,,,,,,,,,
22,SIKKIM,285,266,-6.7,,,,,,,,,,
23,TAMIL NADU,16883,18925,12.1,,,,,,,,,,
24,TELANGANA,8058,10171,26.2,,,,,,,,,,
25,TRIPURA,845,771,-8.8,,,,,,,,,,
26,UTTAR PRADESH,4804,5932,23.5,,,,,,,,,,
27,UTTARAKHAND,943,717,-24.0,,,,,,,,,,
28  WEST BENGAL,,13103,13500,3.0,,,,,,,,,,
,TOTAL (STATES),148737,159980,7.6,,,,,,,,,,
,UNION TERRITORIES,,,,,,,,,,,,,
29,A & N ISLANDS,180,159,-11.7,,,,,,,,,,
30,CHANDIGARH,128,120,-6.3,,,,,,,,,,
,D & N HAVELI AND,,,,,,,,,,,,,
31,,156,171,9.6,,,,,,,,,,
,DAMAN & DIU,,,,,,,,,,,,,
32,DELHI (UT),3142,2840,-9.6,,,,,,,,,,
33,JAMMU & KASHMIR,287,247,-13.9,,,,,,,,,,
34,LADAKH,12,11,-8.3,,,,,,,,,,
35,LAKSHADWEEP,2,1,-50.0,,,,,,,,,,
36,PUDUCHERRY,408,504,23.5,,,,,,,,,,
,TOTAL (UTs),4315,4053,-6.1,,,,,,,,,,
,TOTAL (ALL INDIA),153052,164033,7.2,,,,,,,,,,
‘Incidence’ – refers to number of suicides,,,,,,,,,,,,,,
,,(State/UT-wise),,,,,,,,,,,,
Sl. No.,State/UT,Cases,Married,Un-Married,Total,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,
,STATES,,,,,,,,,,,,,
1,ANDHRA PRADESH,22,37,19,56,,,,,,,,,
2,ARUNACHAL PRADESH,0,0,0,0,,,,,,,,,
3,ASSAM,0,0,0,0,,,,,,,,,
4,BIHAR,0,0,0,0,,,,,,,,,
5,CHHATTISGARH,1,2,0,2,,,,,,,,,
6,GOA,1,3,0,3,,,,,,,,,
7,GUJARAT,8,15,8,23,,,,,,,,,
8,HARYANA,0,0,0,0,,,,,,,,,
9,HIMACHAL PRADESH,0,0,0,0,,,,,,,,,
10,JHARKHAND,0,0,0,0,,,,,,,,,
11,KARNATAKA,10,19,12,31,,,,,,,,,
12,KERALA,12,22,4,26,,,,,,,,,
13,MADHYA PRADESH,8,9,10,19,,,,,,,,,
14,MAHARASHTRA,6,14,6,20,,,,,,,,,
15,MANIPUR,0,0,0,0,,,,,,,,,
16,MEGHALAYA,0,0,0,0,,,,,,,,,
17,MIZORAM,0,0,0,0,,,,,,,,,
18,NAGALAND,0,0,0,0,,,,,,,,,
19,ODISHA,0,0,0,0,,,,,,,,,
20,PUNJAB,3,3,4,7,,,,,,,,,
21,RAJASTHAN,25,18,49,67,,,,,,,,,
22,SIKKIM,0,0,0,0,,,,,,,,,
23,TAMIL NADU,33,52,28,80,,,,,,,,,
24,TELANGANA,2,3,3,6,,,,,,,,,
25,TRIPURA,0,0,0,0,,,,,,,,,
26,UTTAR PRADESH,0,0,0,0,,,,,,,,,
27,UTTARAKHAND,0,0,0,0,,,,,,,,,
28,WEST BENGAL,0,0,0,0,,,,,,,,,
,,131,197,143,340,,,,,,,,,
,UNION TERRITORIES,,,,,,,,,,,,,
29,A & N ISLANDS,0,0,0,0,,,,,,,,,
30,CHANDIGARH,0,0,0,0,,,,,,,,,
,D & N HAVELI AND,,,,,,,,,,,,,
31,,0,0,0,0,,,,,,,,,
,DAMAN & DIU,,,,,,,,,,,,,
32,DELHI (UT),0,0,0,0,,,,,,,,,
33,JAMMU & KASHMIR,0,0,0,0,,,,,,,,,
34,LADAKH,0,0,0,0,,,,,,,,,
35,LAKSHADWEEP,0,0,0,0,,,,,,,,,
36,PUDUCHERRY,0,0,0,0,,,,,,,,,
,TOTAL (UTs),0,0,0,0,,,,,,,,,
,TOTAL (ALL INDIA),131,197,143,340,,,,,,,,,
Col. 6 = Col. 4 + Col. 5,,,,,,,,,,,,,,
,,(Dowry Related Issues),,,,(Extra Marital affairs),,,,(Divorce),,,,
Sl.,,,,,,,,,,,,,,
State/UT,,,,,,,,,,,,,,
No.,,,,,,,,,,,,,,
,,,Trans-,,,,Trans-,,,,Trans-,,,
,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,,
,,,gender,,,,gender,,,,gender,,,
"(1) 
(2)",(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),,
STATES,,,,,,,,,,,,,,
1  ANDHRA PRADESH,9,23,0,32,28,12,0,40,6,3,0,9,,
2  ARUNACHAL PRADESH,0,0,0,0,0,1,0,1,0,0,0,0,,
3  ASSAM,15,41,0,56,48,36,0,84,18,19,0,37,,
4  BIHAR,0,3,0,3,6,7,0,13,6,2,0,8,,
5  CHHATTISGARH,0,38,0,38,9,5,0,14,2,4,0,6,,
6  GOA,0,0,0,0,1,0,0,1,0,0,0,0,,
7  GUJARAT,1,11,0,12,44,26,0,70,53,26,0,79,,
8  HARYANA,0,15,0,15,15,8,0,23,0,1,0,1,,
9  HIMACHAL PRADESH,0,6,0,6,7,4,0,11,1,0,0,1,,
10 JHARKHAND,7,36,0,43,67,23,0,90,38,9,0,47,,
11 KARNATAKA,12,29,0,41,53,24,0,77,51,29,0,80,,
12 KERALA,1,18,1,20,30,7,0,37,28,4,0,32,,
13 MADHYA PRADESH,16,505,0,521,128,93,0,221,28,34,0,62,,
14 MAHARASHTRA,10,68,0,78,75,57,0,132,32,17,0,49,,
15 MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,,
